id,name,host_id,host_identity_verified,host_name,neighbourhood_group,neighbourhood,lat,long,country,country_code,instant_bookable,cancellation_policy,room_type,construction_year,price,service_fee,minimum_nights,number_of_reviews,last_review,reviews_per_month,review_rate_number,calculated_host_listings_count,availability_365,house_rules,license
1140516,C Private Room By The Ferry,86997411863,Unknown,Murphy,Staten Island,Tompkinsville,40.63518,-74.08546,United States,US,True,flexible,Private room,2022,593.0,119.0,2,177,,,,6,313,#NAME?,
1141068,Smallest House In The Village,13282897809,Unknown,Rogers,Manhattan,East Village,40.72477,-73.98161,United States,US,True,strict,Entire home/apt,2014,1067.0,213.0,3,185,5/24/2019,,4.0,2,248,,
1141620,Beautiful modern studio apartment in heart of NYC,94532787850,Unknown,Davis,Manhattan,Chelsea,40.74238,-73.99567,United States,US,False,strict,Entire home/apt,2008,794.0,159.0,9,62,6/21/2019,,2.0,2,80,,
1184700,Columbia Castle in Brooklyn Heights,19318123506,unconfirmed,Crawford,Brooklyn,Brooklyn Heights,40.6926,-73.99832,United States,US,False,moderate,Private room,2022,981.0,196.0,,66,9/16/2016,,,2,,,
1185252,Columbia Castle 2 BR,4051354337,unconfirmed,Cole,Brooklyn,Brooklyn Heights,40.69441,-73.99771,United States,US,False,flexible,Entire home/apt,2015,589.0,118.0,,80,6/30/2019,,,2,,"Smoking isn't allowed in the apartment, though you can do it on our back deck. Because this is our primary residence, we would love it if you would treat it as your own!",
38867024,Small studio in the heart of hells kitchen,22325371342,unconfirmed,Micipsa,Manhattan,Hell's Kitchen,40.76366,-73.99096,United States,US,False,strict,Entire home/apt,2003,394.0,79.0,2,65,,,4.0,1,59,,
38867576,Private Bedroom Living Room w/Exposed Brick,30307202742,confirmed,Dominique,Manhattan,East Village,40.7263,-73.98432,United States,US,True,moderate,Private room,2016,471.0,94.0,1,2,,,3.0,2,0,,
51498125,"Attractive Room, Quiet Area . Easy commute Man.",79596009989,unconfirmed,June,Brooklyn,Bath Beach,40.60382,-74.01083,United States,US,True,flexible,Private room,2010,343.0,69.0,4,17,6/7/2019,,1.0,2,17,"I'm looking only for mature guests who would treat my home as you would your own. No smoking and no parties. This is a friendly and quiet neighborhood and the ideal guest will be the same. CHECK-OUT You don't need to clean the house, but anything you can do to make the cleaning person's job more straightforward (like throwing away any perishable food you didn't eat), would be much appreciated! SLEEPING ARRANGEMENTS There are two bedrooms so two couples will fit perfectly. I can accommodate larger groups (up to six), but those people will have to sleep on (very comfy) blow up beds that you put either in the dining room or one of the bedrooms. Sleeping masks advised for anyone who decides to sleep on an air mattress in the dining room.",
51498677,Beautiful Sunlit Retreat in Manhattan,2317212823,unconfirmed,BeautifulHarlem,Manhattan,Harlem,40.81961,-73.94583,United States,US,False,strict,Entire home/apt,2012,268.0,54.0,2,145,,,2.0,2,127,"No pets No Smoking indoors Please be respectful of my neighbors both inside and outside my home. This means limiting noise after hours, avoiding playing loud music, etc. Please clean up and take out the trash when you leave",
51499230,Private  suite,47335669596,confirmed,Irisha,Queens,Fresh Meadows,40.74227,-73.78707,United States,US,True,moderate,Entire home/apt,2008,130.0,26.0,1,26,,,1.0,3,358,"This is our family home, not a rental that we manage, so we expect you to treat it as you would your own home.",
55523287,NY Style by the Metro and St. john's University.,71618038009,confirmed,Natalie,Queens,Jamaica Estates,40.71959,-73.78849,United States,US,False,moderate,Private room,2008,253.0,51.0,1,6,,,3.0,1,65,"1. No damage to the house or furniture 2. No Smoking, No Pets, No Drugs 3. No more sleepover people then you booked 4. Keep quiet after 11:00 PM 5. Be respectful to neighbors 6. Keep the kitchen clean after used 7. Keep the bathroom clean after used 8. Return “Parking Permit"" before check out 9. Check-in: 3PM, Check-out: 11:00AM",
55523840,Stylish & dreamy brooklyn loft,25233846702,confirmed,Iva,Brooklyn,Bedford-Stuyvesant,40.67895,-73.93641,United States,US,True,moderate,Entire home/apt,2003,308.0,62.0,3,11,,,5.0,2,179,- Please clean tools after you use kitchen - Please keep quite after 11pm,
